"Msafi Washing Detergent - 1kg",7252458504,22,3552,19,"Household Cleaners",2,N/A,N/A
"Blue Band Original - 250G",9673768233,22,2310,15,"Cooking Ingredient",2,N/A,N/A
"Onions Red Small - 2 Pieces",4430535536,22,198,6,Vegetables,2,N/A,N/A
"Famila Ujimix - 500g",1294523241,21,1140,10,Flours,2,N/A,N/A
"Dairy Top ESL UHT - 200Ml",6726687346,21,441,1,Milk,2,N/A,N/A
"Geisha Rose & Honey Soap - 250G",9984588410,19,1520,13,Hygiene,2,N/A,N/A
"Always Maxi Thick Long - 7",5249165658,18,1406,3,Hygiene,2,N/A,N/A
"Amana Ndengu - 250g",4140276178,18,715,14,"Pulses &amp; Cereals",2,N/A,N/A
"Festive Brown - 400g",5022568797,16,832,14,"Bread &amp; Cereals",2,N/A,N/A
"Famila Ujimix - 1kg",7489470096,16,1728,14,Flours,2,N/A,N/A
"Salit Cooking Oil - 1L",6387318215,14,4485,5,Oil,2,N/A,N/A
"Rina Vegetable Oil - 500ml",6337594797,14,2335,6,Oil,2,N/A,N/A
"Jik Regular Bleach - 250Ml",7798265949,12,1140,8,"Household Cleaners",2,N/A,N/A
"Dairy Top ESL UHT - 500Ml",8612105804,12,540,1,Milk,2,N/A,N/A
"Msafi Washing Detergent - 500g",7340050721,12,1302,4,"Household Cleaners",2,N/A,N/A
"Dairy Top Fino UHT - 500Ml",5223774195,12,576,1,Milk,2,N/A,N/A
"Colgate Regular - 35g",2121197749,11,583,3,Hygiene,2,N/A,N/A
"Amana Ndengu - 1kg",7685130161,10,1493,9,"Pulses &amp; Cereals",2,N/A,N/A
"Msafi Cream Bar Soap 1Kg",6387436123,8,1080,2,"Household Cleaners",2,N/A,N/A
"Salit Cooking Oil - 3L",8205589808,8,7390,5,Oil,2,N/A,N/A
"Afia Multi Vitamin Fruit Drink - 1.5L",3199203563,6,912,6,"Soft Drinks",2,N/A,N/A
"Amana Pishori - 2kg",8037602927,6,2370,5,"Pulses &amp; Cereals",2,N/A,N/A
"Amana Pishori - 1kg",8005243954,6,1194,4,"Pulses &amp; Cereals",2,N/A,N/A
"Geisha Milk & Honey Soap - 225G",3645210080,6,480,4,Beauty,2,N/A,N/A
"Amana Ndengu - 500g",8105755714,5,375,4,"Pulses &amp; Cereals",2,N/A,N/A
"Geisha Rose & Honey Soap - 225G",1769981495,5,400,4,Beauty,2,N/A,N/A
"Famila Baby Porridge - 1kg",4727233274,5,634,4,Flours,2,N/A,N/A
"Ufuta Vegetable Cooking Oil - 500ml",2299386976,5,780,5,Oil,2,N/A,N/A
"Morning Fresh Paste Original - 400g",7971804536,5,910,4,"Household Cleaners",2,N/A,N/A
"Afia Mango Fruit Drink - 1.5L",3429037686,4,560,4,"Soft Drinks",2,N/A,N/A
"Vaseline Pure Jelly - 100g",4617557768,4,381,3,Beauty,2,N/A,N/A
"Amana Yellow Beans - 1kg",7250505039,4,680,2,"Pulses &amp; Cereals",2,N/A,N/A
"Amana Basmati - 1kg",1479758021,3,615,2,Rice,2,N/A,N/A
"Omo Extra Fresh - 500g",4055736431,2,360,2,"Household Cleaners",2,N/A,N/A
"Omo Extra Fresh - 1Kg",1548440341,2,660,2,"Household Cleaners",2,N/A,N/A
"Salit Cooking Oil - 10L",5896358407,2,5860,1,Oil,2,N/A,N/A
"Amana Basmati - 2kg",8123307341,2,810,2,Rice,2,N/A,N/A
"Amana Njahi - 1kg",4650300246,2,350,2,"Pulses &amp; Cereals",2,N/A,N/A
"Famila Banana Flavoured Porridge - 1kg",2303452914,2,238,2,Flours,2,N/A,N/A
"Famila Banana Flavoured Porridge - 500g",4472933861,2,120,2,Flours,2,N/A,N/A
"Ufuta Vegetable Cooking Oil - 10L",7624365870,1,2960,1,Oil,2,N/A,N/A
"Vaseline Pure Jelly - 50g",7195055335,1,49,1,Beauty,2,N/A,N/A
"Amana Rose Coco - 1kg",8459027618,1,165,1,"Pulses &amp; Cereals",2,N/A,N/A
"Omo Fast Action - 500g",2774807324,1,180,1,"Household Cleaners",2,N/A,N/A
"Colgate Regular - 70g",8177139910,1,87,1,Hygiene,2,N/A,N/A
