ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
6421,variable,4472933861,Famila Banana Flavoured Porridge - 500g,1,0,visible,Famila Banana Flavoured Porridge - 500g,Famila Banana Flavoured Porridge - 500g,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Famila-Banana-porridge.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6422,variable,7685130161,Amana Ndengu - 1kg,1,0,visible,Amana Ndengu - 1kg,Amana Ndengu - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Ndengu-250g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6423,variable,8105755714,Amana Ndengu - 500g,1,0,visible,Amana Ndengu - 500g,Amana Ndengu - 500g,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Ndengu-250g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6424,variable,4140276178,Amana Ndengu - 250g,1,0,visible,Amana Ndengu - 250g,Amana Ndengu - 250g,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Ndengu-250g.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6425,variable,4650300246,Amana Njahi - 1kg,1,0,visible,Amana Njahi - 1kg,Amana Njahi - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Njahi-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6426,variable,8459027618,Amana Rose Coco - 1kg,1,0,visible,Amana Rose Coco - 1kg,Amana Rose Coco - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Rose-Coco-beans-1kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6427,variable,7250505039,Amana Yellow Beans - 1kg,1,0,visible,Amana Yellow Beans - 1kg,Amana Yellow Beans - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Yellow-beans-1kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6428,variable,2710950792,Amana Nyayo Beans - 1kg,1,0,visible,Amana Nyayo Beans - 1kg,Amana Nyayo Beans - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Nyayo-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6429,variable,8037602927,Amana Pishori - 2kg,1,0,visible,Amana Pishori - 2kg,Amana Pishori - 2kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Pishori-2kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6430,variable,8005243954,Amana Pishori - 1kg,1,0,visible,Amana Pishori - 1kg,Amana Pishori - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Pulses &amp; Cereals,,,https://kapuafrica.com/wp-content/uploads/2022/02/Amana-Pishori-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
