ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
,variation,,Halisi Cooking Oil - 500Ml - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,2231523533,,,,,,0,Pricing,Base,,1
,variation,,Halisi Cooking Oil - 1L - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,1665539624,,,,,,0,Pricing,Base,,1
,variation,,Halisi Cooking Oil - 3L - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,3868341445,,,,,,0,Pricing,Base,,1
,variation,,Salit Cooking Oil - 500Ml - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,1651234757,,,,,,0,Pricing,Base,,1
,variation,,Salit Cooking Oil - 1L - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,6387318215,,,,,,0,Pricing,Base,,1
,variation,,Salit Cooking Oil - 3L - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,8205589808,,,,,,0,Pricing,Base,,1
,variation,,Salit Cooking Oil - 5L - Base,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,9967536169,,,,,,0,Pricing,Base,,1
,variation,,Omo Fast Action - 500g - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,2774807324,,,,,,0,Pricing,Pamoja,,1
,variation,,Omo Fast Action - 1Kg - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,7693894346,,,,,,0,Pricing,Pamoja,,1
,variation,,Omo Extra Fresh - 500g - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,4055736431,,,,,,0,Pricing,Pamoja,,1
,variation,,Omo Extra Fresh - 1Kg - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,1548440341,,,,,,0,Pricing,Pamoja,,1
,variation,,Sunlight Lavender Powder (Tropical) - 500g - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,9769738829,,,,,,0,Pricing,Pamoja,,1
,variation,,Sunlight Lavender Powder (Tropical) - 1Kg - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,5845697435,,,,,,0,Pricing,Pamoja,,1
,variation,,Colgate Regular - 35g - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,2121197749,,,,,,0,Pricing,Pamoja,,1
,variation,,Halisi Cooking Oil - 500Ml - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,2231523533,,,,,,0,Pricing,Pamoja,,1
,variation,,Halisi Cooking Oil - 1L - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,1665539624,,,,,,0,Pricing,Pamoja,,1
,variation,,Halisi Cooking Oil - 3L - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,3868341445,,,,,,0,Pricing,Pamoja,,1
,variation,,Salit Cooking Oil - 500Ml - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,1651234757,,,,,,0,Pricing,Pamoja,,1
,variation,,Salit Cooking Oil - 1L - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,6387318215,,,,,,0,Pricing,Pamoja,,1
,variation,,Salit Cooking Oil - 3L - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,8205589808,,,,,,0,Pricing,Pamoja,,1
,variation,,Salit Cooking Oil - 5L - Pamoja,1,0,hidden,,,,,taxable,,1,,0,0,,,,,0,,,,,,,,,,9967536169,,,,,,0,Pricing,Pamoja,,1
