id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
375340437_3388,"Mchuzi Mix Beef Kora - 10g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/mchuzi-mix-beef-kora.jpeg,https://kapu.mystagingwebsite.com/product/mchuzi-mix-beef-kora-10g/?attribute_pa_pricing=pamoja,"Beauty","Kapu Africa",4KES,in stock,375340437_3207,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
4130357482_3386,"Kensalt - 500G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/Kensalt-500g.jpeg,https://kapu.mystagingwebsite.com/product/kensalt-500g/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",16KES,in stock,4130357482_3206,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
3306580224_3384,"Kensalt - 200G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Kensalt-200g.jpg,https://kapu.mystagingwebsite.com/product/kensalt-200g/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",7KES,in stock,3306580224_3205,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
6518583240_3382,"Kensalt - 1Kg","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/KENSALT-1KG-1.jpeg,https://kapu.mystagingwebsite.com/product/kensalt-1kg/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",30KES,in stock,6518583240_3204,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
7646909809_3380,"Indomie Chicken - 120g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/Indomie-Chicken-Noodles-120g.jpeg,https://kapu.mystagingwebsite.com/product/indomie-chicken-120g/?attribute_pa_pricing=pamoja,"Pasta &amp; Noodles","Kapu Africa",32KES,in stock,7646909809_3203,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,32KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
4885602117_3378,"Indomie Beef - 120g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/Indomie-Beef-Jumbo-Noodle-120g.jpeg,https://kapu.mystagingwebsite.com/product/indomie-beef-120g/?attribute_pa_pricing=pamoja,"Pasta &amp; Noodles","Kapu Africa",0KES,in stock,4885602117_3202,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
3645210080_3376,"Geisha Milk & Honey Soap - 225G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Geisha-milk-and-honey.jpg,https://kapu.mystagingwebsite.com/product/geisha-milk-honey-soap-225g/?attribute_pa_pricing=pamoja,"Beauty","Kapu Africa",78KES,in stock,3645210080_3201,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,78KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
6068535563_3374,"Fahari Ya Kenya Tea - 100g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/FahariYaKenya_a4346ed4-6e01-4db4-86ee-5638a376a8cc_1024x1024.png,https://kapu.mystagingwebsite.com/product/fahari-ya-kenya-tea-100g/?attribute_pa_pricing=pamoja,"Tea, Coffee &amp; Hot Chocolate","Kapu Africa",42KES,in stock,6068535563_3200,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,42KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
6604733167_3372,"Colgate Herbal - 35G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Colgate-Herbal-1.jpg,https://kapu.mystagingwebsite.com/product/colgate-herbal-35g/?attribute_pa_pricing=pamoja,"Beauty","Kapu Africa",55KES,in stock,6604733167_3199,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
2966612175_3370,"Chapa Mandashi - 100g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Chapa-Mandashi.jpeg,https://kapu.mystagingwebsite.com/product/chapa-mandashi-100g/?attribute_pa_pricing=pamoja,"Flours","Kapu Africa",22KES,in stock,2966612175_3198,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
